,VALOR_FATURA
57435,10090.32
24608,31.76
32899,25229.12
59752,4237.13
16445,31.72
61084,40.82
28584,589.45
56959,3419.64
1289,28.02
58495,350.63
50760,2975.76
37838,2391.18
22474,60.31
30960,11795.95
29410,18156.89
54933,55.92
25797,4694.69
12742,61.75
49873,32.12
33993,6104.8
3079,848.78
65098,7488.99
42898,5543.52
58894,217.9
29647,56.35
51448,1341.41
36025,41.45
19385,31.82
45428,54.2
1294,104.24
64290,14639.67
19720,4767.56
15091,707.16
23517,5184.95
56911,277.99
21275,48.69
37150,93.13
52897,63.97
63112,24.23
2339,43.65
614,338.17
43198,53.57
6959,150.76
10511,1853.56
5044,5362.26
34432,35.83
62863,71.14
52468,2101.62
27739,1164.8
21835,1671.66
42598,75.81
40881,72.15
36117,4469.33
52721,55.72
12249,27.98
53035,2837.82
8329,3988.95
49625,1920.57
6799,7048.55
10212,35.52
65580,29967.63
36352,103.84
64656,3026.33
55334,2332.5
24136,120.51
61803,1950.31
56800,3209.88
64502,6413.87
29671,69.34
50528,520.81
30367,1351.57
62093,32.11
6620,42.18
60123,3422.77
15082,308.69
36793,591.06
52151,190.16
63102,999.77
41601,14116.36
52681,5361.3
16622,1188.63
28222,41.1
2833,1048.77
31116,3603.8
53568,3833.53
54522,16139.07
21430,6878.98
54207,109.42
49047,3321.79
43478,2325.88
62616,36.59
29090,108.52
40171,8630.71
28505,158.23
52581,7306.96
55179,63.43
31828,668.0
59971,760.75
42752,26.69
58712,3696.65
12043,24.24
64389,27.82
4751,1330.03
58477,27.82
16361,7644.87
17570,94.41
21407,24.41
15354,24.24
47829,48.44
30161,108.6
58448,1574.89
15260,968.31
23208,2071.5
12270,39.24
19303,123.78
62453,409.18
6086,1410.16
11893,48.83
55471,49.32
27246,4184.04
33617,83.42
59405,40.87
2358,48.71
56707,41939.69
46413,426.25
61781,294.73
18459,156.63
4462,727.24
38017,844.72
28084,1675.58
17240,687.31
26462,108.6
34655,3871.4
17352,14570.88
50635,52.5
278,2074.28
10831,1811.18
61920,78.61
27985,90.92
17396,6183.79
13142,43.0
25126,2490.09
11142,18097.37
10807,31.76
51088,5511.94
46793,40558.09
37458,34.97
29057,219.35
39030,384.12
30397,1398.41
56130,244.49
31259,26.7
52743,523.1
204,13353.73
41185,1596.61
61064,5662.59
47135,656.53
63189,7311.42
51477,27.83
38658,294.93
44182,55.04
7089,1470.22
14220,215.84
7830,928.26
52553,1410.04
63938,27.82
11942,61.82
45298,6645.02
2700,1129.32
2519,24.24
37083,524.75
2303,887.21
40160,1350.13
13820,3760.95
8102,48.67
7021,189.22
3255,61.78
7516,59.83
10176,24.24
13384,24.24
56306,7343.0
14590,74.73
21518,61.89
6032,2233.17
10671,3117.52
8584,55.24
14819,54.31
1937,60.0
3100,1167.58
1854,288.55
43562,15352.6
56815,4556.26
19144,1872.02
43048,46.46
8889,48.71
11412,78.87
25483,20.76
52944,70.85
59128,172.08
33030,6704.5
30369,28.04
10952,68.26
27319,49.21
20885,437.74
6076,241.76
3846,21.03
3594,463.4
34395,6408.79
58795,55.92
59796,22419.0
31987,445.09
47864,40.78
44749,1419.87
19461,28.23
55558,6510.42
39353,91.07
20191,24.24
1538,3355.9
42960,194.29
59411,73.31
49808,119.47
37666,60.84
20414,65.78
50122,880.5
7628,114.13
20686,48.67
24799,589.45
17620,2722.7
26102,134.53
23889,429.5
44382,685.74
37984,8988.86
46877,31.95
51856,224.32
34468,2098.68
37195,30.83
22747,1500.66
62629,3145.97
4477,646.98
34766,32615.41
28727,149.71
