ANO_VENCIMENTO,MES_VENCIMENTO,TRIMESTRE,VALOR_FATURA_lag1,VALOR_FATURA_lag2
2022,11,4,48.71,48.71
2022,12,4,10365.52,15886.62
2023,4,2,56.35,51.86
2023,5,2,32.39,31.14
2023,6,2,28.04,32.39
2024,8,3,81.52,36.59
2024,7,3,56.97,56.97
2024,6,2,596.2,559.07
2022,11,4,13224.92,47.6
2023,4,2,82.15,78.51
2024,1,1,1308.99,1286.79
2022,7,3,7998.07,6014.79
2022,8,3,587.18,536.22
2024,4,2,330.79,300.47
2024,9,3,15295.57,16407.34
2022,8,3,31.72,48.55
2022,6,2,24.24,24.24
2024,1,1,4018.97,4540.09
2024,12,4,136.59,145.27
2022,10,4,55.26,48.97
2022,7,3,204.17,232.62
2023,6,2,429.42,506.02
2024,2,1,26.69,26.7
2023,7,3,33.0,28.06
2022,12,4,1027.61,454.05
2022,12,4,131.61,222.74
2024,3,1,1795.23,2590.67
2023,8,3,6542.32,5160.84
2023,6,2,48.82,56.33
2022,10,4,2673.51,1411.0
2023,6,2,63.9,63.9
2024,10,4,26121.38,54700.61
2024,7,3,32.11,32.11
2023,3,1,883.18,923.0
2022,4,2,24.24,14.3
2024,2,1,26.69,26.69
2022,11,4,51067.28,2198.37
2023,7,3,2165.04,2698.86
2022,12,4,48.71,42.18
2023,1,1,6701.83,6750.47
2022,8,3,2172.72,2072.9
2022,12,4,189.63,202.69
2024,8,3,279.83,51.9
2022,8,3,907.8,788.41
2023,7,3,36.74,36.74
2024,4,2,56.65,10572.37
2022,9,3,289.86,204.31
2022,6,2,1329.39,1911.56
2022,11,4,2494.55,1208.98
2023,5,2,679.02,506.27
2024,12,4,2283.11,1858.5
2024,6,2,27.82,342.93
2024,8,3,6908.84,6491.85
2023,9,3,2048.85,2074.26
2024,6,2,36.43,36.43
2023,9,3,1246.98,1184.87
2024,10,4,27.82,538.36
2022,8,3,243.03,470.73
2023,12,4,39.11,39.11
2024,9,3,10399.92,26162.07
2024,9,3,351.03,312.74
2024,6,2,15616.27,6874.26
2023,2,1,54.16,24.24
